ID;code;name;sequence
70000000-0000-0000-0000-000000000001;PRJ;Project & Structure;10
70000000-0000-0000-0000-000000000002;BUD;Budget & Cost Control;20
70000000-0000-0000-0000-000000000003;WF;Resource Workflow;30
70000000-0000-0000-0000-000000000004;MAT;Material Execution;40
70000000-0000-0000-0000-000000000005;EQ;Equipment & Plant;50
70000000-0000-0000-0000-000000000006;MD;Master Data;60
70000000-0000-0000-0000-000000000007;ADM;Administration;70
70000000-0000-0000-0000-000000000008;MP;Manpower & Workforce;55
